"#","Reference","Qty","Value","Footprint","DNP","Digikey"
"1","C1, C2, C4, C7, C8, C16, C17, C19, C20, C22, C24, C26, C27","13","100pF","Capacitor_SMD:C_0402_1005Metric","",""
"2","C3, C5, C6, C9, C18, C21, C23, C25, C28","9","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"3","C10, C11, C12, C13, C14, C15","6","330pF","Capacitor_SMD:C_0402_1005Metric","",""
"4","C31","1","100uF","","",""
"5","C36, C37","2","10uF","","",""
"6","J1, J2, J3, J4, J6","5","SMA","Connector_Coaxial:SMA_Amphenol_132291_Vertical","",""
"7","J5","1","Conn_02x08_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","",""
"8","J7","1","Conn_01x02_Socket","","",""
"9","L1, L2","2","220nH","","",""
"10","PS1","1","PDQE10-Q24-D5-D","","",""
"11","R1","1","60.4","Resistor_SMD:R_0603_1608Metric","",""
"12","R2","1","3.74k","Resistor_SMD:R_0402_1005Metric","",""
"13","R3","1","1.5k","Resistor_SMD:R_0402_1005Metric","",""
"14","R4","1","270","Resistor_SMD:R_0402_1005Metric","",""
"15","R5","1","2k","Resistor_SMD:R_0402_1005Metric","",""
"16","R6","1","60.4","Resistor_SMD:R_0402_1005Metric","",""
"17","R8","1","150","Resistor_SMD:R_2512_6332Metric","","A116012TR-ND"
"18","R9","1","150","Resistor_SMD:R_2512_6332Metric","",""
"19","R10","1","3.74k","Capacitor_SMD:C_0402_1005Metric","",""
"20","R11","1","1.5k","Capacitor_SMD:C_0402_1005Metric","",""
"21","R12","1","270","Capacitor_SMD:C_0402_1005Metric","",""
"22","R14","1","2k","Capacitor_SMD:C_0402_1005Metric","",""
"23","U1, U5","2","ADL5906","Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm_ThermalVias","",""
"24","U2","1","MAPS-010163-TR0500","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.8x2.8mm_ThermalVias","",""
"25","U3","1","HMC472ALP4E","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias","",""
"26","U4, U6","2","GALI-52","Package_TO_SOT_SMD:SOT-89-3","",""
"27","U7","1","ADE-17H+","RF_Mini-Circuits:Mini-Circuits_CD542_LandPatternPL-052","",""
"28","U8, U9","2","DBTC-17-5LX+","_tim-RF-Mini-Circuits:DBTC-17-5LX+","",""
